i,dim_reduction,model_type,best_score,best_params
1,,balanced_random_forest,0.5970046439628482,"{""model_type__sampling_strategy"": ""not majority"", ""model_type__replacement"": false, ""model_type__n_estimators"": 200, ""model_type__min_samples_split"": 10, ""model_type__min_samples_leaf"": 2, ""model_type__max_depth"": null, ""model_type__bootstrap"": true}"
1,,support_vector_machine,0.5995393303520238,"{""model_type__kernel"": ""linear"", ""model_type__gamma"": 0.3, ""model_type__C"": 5}"
1,,xgboost,0.5840408210067654,"{""model_type__subsample"": 0.8, ""model_type__reg_lambda"": 10, ""model_type__n_estimators"": 500, ""model_type__max_depth"": 10, ""model_type__learning_rate"": 0.01, ""model_type__colsample_bytree"": 0.6}"
1,,lightgbm,0.586428161908038,"{""model_type__subsample"": 0.7, ""model_type__reg_lambda"": 1, ""model_type__reg_alpha"": 0, ""model_type__num_leaves"": 31, ""model_type__n_estimators"": 100, ""model_type__min_data_in_leaf"": 50, ""model_type__max_depth"": 10, ""model_type__learning_rate"": 0.005, ""model_type__is_unbalance"": true, ""model_type__colsample_bytree"": 0.7}"
1,,mlpclassifier,0.5963398692810458,"{""model_type__solver"": ""adam"", ""model_type__max_iter"": 1000, ""model_type__learning_rate"": ""invscaling"", ""model_type__hidden_layer_sizes"": [100, 50], ""model_type__alpha"": 0.005, ""model_type__activation"": ""logistic""}"
1,,assembled,0.9062110302625396,{}
1,pca,balanced_random_forest,0.625823300080266,"{""model_type__sampling_strategy"": ""not majority"", ""model_type__replacement"": false, ""model_type__n_estimators"": 500, ""model_type__min_samples_split"": 5, ""model_type__min_samples_leaf"": 1, ""model_type__max_depth"": 20, ""model_type__bootstrap"": true, ""dim_reduction__n_components"": 12}"
1,pca,support_vector_machine,0.5995393303520238,"{""model_type__kernel"": ""linear"", ""model_type__gamma"": 0.3, ""model_type__C"": 5, ""dim_reduction__n_components"": 12}"
1,pca,xgboost,0.6114975346863891,"{""model_type__subsample"": 0.8, ""model_type__reg_lambda"": 10, ""model_type__n_estimators"": 500, ""model_type__max_depth"": 10, ""model_type__learning_rate"": 0.01, ""model_type__colsample_bytree"": 0.6, ""dim_reduction__n_components"": 12}"
1,pca,lightgbm,0.6121588693957115,"{""model_type__subsample"": 1.0, ""model_type__reg_lambda"": 0.1, ""model_type__reg_alpha"": 1, ""model_type__num_leaves"": 63, ""model_type__n_estimators"": 200, ""model_type__min_data_in_leaf"": 5, ""model_type__max_depth"": 10, ""model_type__learning_rate"": 0.005, ""model_type__is_unbalance"": true, ""model_type__colsample_bytree"": 0.6, ""dim_reduction__n_components"": 12}"
1,pca,mlpclassifier,0.5992116729732828,"{""model_type__solver"": ""adam"", ""model_type__max_iter"": 500, ""model_type__learning_rate"": ""adaptive"", ""model_type__hidden_layer_sizes"": [100, 50], ""model_type__alpha"": 0.0001, ""model_type__activation"": ""logistic"", ""dim_reduction__n_components"": 12}"
1,pca,assembled,0.9381128953303228,{}
1,umap,balanced_random_forest,0.6020186905171425,"{""model_type__sampling_strategy"": ""not majority"", ""model_type__replacement"": false, ""model_type__n_estimators"": 500, ""model_type__min_samples_split"": 5, ""model_type__min_samples_leaf"": 4, ""model_type__max_depth"": null, ""model_type__bootstrap"": true, ""dim_reduction__spread"": 1.7, ""dim_reduction__n_neighbors"": 100, ""dim_reduction__n_components"": 12, ""dim_reduction__min_dist"": 0.7, ""dim_reduction__metric"": ""cosine""}"
