i,dim_reduction,model_type,best_score,best_params
1,None,balanced_random_forest,0.5916179337231968,"{'model_type__n_estimators': 100, 'model_type__min_samples_split': 5, 'model_type__min_samples_leaf': 1, 'model_type__max_depth': 10}"
1,None,support_vector_machine,0.6067953789703016,"{'model_type__kernel': 'rbf', 'model_type__gamma': 0.1, 'model_type__C': 5}"
1,None,xgboost,0.5804910560715515,"{'model_type__subsample': 0.8, 'model_type__n_estimators': 200, 'model_type__max_depth': 3, 'model_type__learning_rate': 0.2, 'model_type__colsample_bytree': 0.8}"
1,None,lightgbm,0.5826717119596376,"{'model_type__subsample': 0.8, 'model_type__num_leaves': 15, 'model_type__n_estimators': 100, 'model_type__max_depth': 10, 'model_type__learning_rate': 0.1, 'model_type__colsample_bytree': 1.0}"
1,None,mlpclassifier,0.5941938997821351,"{'model_type__solver': 'adam', 'model_type__max_iter': 200, 'model_type__learning_rate': 'adaptive', 'model_type__hidden_layer_sizes': (100,), 'model_type__alpha': 0.005, 'model_type__activation': 'tanh'}"
1,pca,balanced_random_forest,0.6327413714023621,"{'model_type__n_estimators': 200, 'model_type__min_samples_split': 5, 'model_type__min_samples_leaf': 2, 'model_type__max_depth': None, 'dim_reduction__n_components': 10}"
1,pca,support_vector_machine,0.6055601421855292,"{'model_type__kernel': 'rbf', 'model_type__gamma': 0.1, 'model_type__C': 5, 'dim_reduction__n_components': 10}"
1,pca,xgboost,0.6129962160302718,"{'model_type__subsample': 1.0, 'model_type__n_estimators': 100, 'model_type__max_depth': 10, 'model_type__learning_rate': 0.1, 'model_type__colsample_bytree': 1.0, 'dim_reduction__n_components': 10}"
1,pca,lightgbm,0.6001751519321179,"{'model_type__subsample': 0.8, 'model_type__num_leaves': 31, 'model_type__n_estimators': 200, 'model_type__max_depth': 10, 'model_type__learning_rate': 0.1, 'model_type__colsample_bytree': 0.8, 'dim_reduction__n_components': 10}"
1,pca,mlpclassifier,0.592224515537209,"{'model_type__solver': 'adam', 'model_type__max_iter': 500, 'model_type__learning_rate': 'adaptive', 'model_type__hidden_layer_sizes': (100,), 'model_type__alpha': 0.005, 'model_type__activation': 'relu', 'dim_reduction__n_components': 10}"
1,umap,balanced_random_forest,0.5976453388372893,"{'model_type__n_estimators': 50, 'model_type__min_samples_split': 2, 'model_type__min_samples_leaf': 2, 'model_type__max_depth': None, 'dim_reduction__spread': 1.5, 'dim_reduction__n_neighbors': 50, 'dim_reduction__n_components': 5, 'dim_reduction__min_dist': 0.7, 'dim_reduction__metric': 'manhattan'}"
1,umap,support_vector_machine,0.5965006879944961,"{'model_type__kernel': 'rbf', 'model_type__gamma': 0.4, 'model_type__C': 20, 'dim_reduction__spread': 1.7, 'dim_reduction__n_neighbors': 70, 'dim_reduction__n_components': 2, 'dim_reduction__min_dist': 0.7, 'dim_reduction__metric': 'manhattan'}"
1,umap,xgboost,0.6013444559110194,"{'model_type__subsample': 0.8, 'model_type__n_estimators': 100, 'model_type__max_depth': 3, 'model_type__learning_rate': 0.01, 'model_type__colsample_bytree': 0.6, 'dim_reduction__spread': 1.7, 'dim_reduction__n_neighbors': 50, 'dim_reduction__n_components': 10, 'dim_reduction__min_dist': 0.1, 'dim_reduction__metric': 'manhattan'}"
1,umap,lightgbm,0.594621029698429,"{'model_type__subsample': 0.8, 'model_type__num_leaves': 31, 'model_type__n_estimators': 200, 'model_type__max_depth': 6, 'model_type__learning_rate': 0.01, 'model_type__colsample_bytree': 0.6, 'dim_reduction__spread': 1.7, 'dim_reduction__n_neighbors': 50, 'dim_reduction__n_components': 10, 'dim_reduction__min_dist': 0.7, 'dim_reduction__metric': 'manhattan'}"
1,umap,mlpclassifier,0.604942953789703,"{'model_type__solver': 'adam', 'model_type__max_iter': 200, 'model_type__learning_rate': 'adaptive', 'model_type__hidden_layer_sizes': (200,), 'model_type__alpha': 0.001, 'model_type__activation': 'tanh', 'dim_reduction__spread': 1.7, 'dim_reduction__n_neighbors': 70, 'dim_reduction__n_components': 10, 'dim_reduction__min_dist': 0.5, 'dim_reduction__metric': 'manhattan'}"
1,umap_supervised,balanced_random_forest,0.5670774567136797,"{'model_type__n_estimators': 50, 'model_type__min_samples_split': 5, 'model_type__min_samples_leaf': 2, 'model_type__max_depth': 10}"
1,umap_supervised,support_vector_machine,0.566703646370829,"{'model_type__kernel': 'rbf', 'model_type__gamma': 0.1, 'model_type__C': 1}"
1,umap_supervised,xgboost,0.5702264648549478,"{'model_type__subsample': 0.8, 'model_type__n_estimators': 50, 'model_type__max_depth': 3, 'model_type__learning_rate': 0.2, 'model_type__colsample_bytree': 1.0}"
1,umap_supervised,lightgbm,0.5751350189198486,"{'model_type__subsample': 0.8, 'model_type__num_leaves': 63, 'model_type__n_estimators': 200, 'model_type__max_depth': 3, 'model_type__learning_rate': 0.2, 'model_type__colsample_bytree': 1.0}"
1,umap_supervised,mlpclassifier,0.5710371517027863,"{'model_type__solver': 'adam', 'model_type__max_iter': 100, 'model_type__learning_rate': 'adaptive', 'model_type__hidden_layer_sizes': (100,), 'model_type__alpha': 0.009, 'model_type__activation': 'relu'}"
